,movie,year,imdb
0,Gladiator,(2000),8.5
1,Memento,(2000),8.5
2,Snatch,(2000),8.3
3,Requiem for a Dream,(2000),8.3
4,X-Men,(2000),7.4
5,Cast Away,(2000),7.8
6,American Psycho,(2000),7.6
7,Unbreakable,(2000),7.3
8,Meet the Parents,(2000),7.0
9,Mission: Impossible II,(2000),6.1
10,"O Brother, Where Art Thou?",(2000),7.8
11,Gone in Sixty Seconds,(2000),6.5
12,"Crouching Tiger, Hidden Dragon",(2000),7.9
13,The Patriot,(2000),7.2
14,Almost Famous,(2000),7.9
15,Pitch Black,(2000),7.1
16,Scary Movie,(2000),6.2
17,"Me, Myself & Irene",(2000),6.6
18,Final Destination,(2000),6.7
19,The Beach,(I) (2000),6.6
20,Amores Perros,(2000),8.1
21,Traffic,(2000),7.6
22,Remember the Titans,(2000),7.8
23,How the Grinch Stole Christmas,(2000),6.1
24,What Women Want,(2000),6.4
25,Chocolat,(2000),7.3
26,Miss Congeniality,(2000),6.2
27,Chicken Run,(2000),7.0
28,Charlie's Angels,(2000),5.5
29,Battle Royale,(2000),7.7
30,High Fidelity,(2000),7.5
31,The Emperor's New Groove,(2000),7.3
32,Erin Brockovich,(2000),7.3
33,Road Trip,(2000),6.5
34,The Perfect Storm,(2000),6.4
35,"Dude, Where's My Car?",(2000),5.5
36,Hollow Man,(2000),5.7
37,Scream 3,(2000),5.6
38,Billy Elliot,(2000),7.7
39,Shanghai Noon,(2000),6.6
40,The 6th Day,(2000),5.9
41,What Lies Beneath,(2000),6.6
42,Malcolm in the Middle,(2000–2006),8.0
43,Pay It Forward,(2000),7.2
44,In the Mood for Love,(2000),8.1
45,The Whole Nine Yards,(2000),6.7
46,Coyote Ugly,(2000),5.7
47,Men of Honor,(2000),7.2
48,The Family Man,(2000),6.8
49,Frequency,(2000),7.4
50,Dancer in the Dark,(2000),8.0
51,Little Nicky,(2000),5.3
52,Bedazzled,(2000),6.0
53,The Cell,(2000),6.3
54,Gilmore Girls,(2000–2007),8.2
55,Curb Your Enthusiasm,(2000– ),8.7
56,Bring It On,(2000),6.0
57,Finding Forrester,(2000),7.3
58,Malèna,(2000),7.5
59,Big Momma's House,(2000),5.1
60,The Road to El Dorado,(2000),6.9
61,CSI: Crime Scene Investigation,(2000–2015),7.7
62,Battlefield Earth,(2000),2.5
63,U-571,(2000),6.6
64,Space Cowboys,(2000),6.4
65,Mission to Mars,(2000),5.6
66,Shaft,(2000),5.9
67,Romeo Must Die,(2000),6.1
68,Wonder Boys,(2000),7.4
69,The Gift,(2000),6.7
70,Titan A.E.,(2000),6.6
71,Vertical Limit,(2000),5.9
72,The Crimson Rivers,(2000),6.9
73,The Replacements,(2000),6.5
74,Proof of Life,(2000),6.2
75,Red Planet,(2000),5.7
76,Best in Show,(2000),7.5
77,Thirteen Days,(2000),7.3
78,The Legend of Bagger Vance,(2000),6.7
79,Sexy Beast,(2000),7.3
80,Quills,(2000),7.3
81,Black Books,(2000–2004),8.5
82,Keeping the Faith,(2000),6.4
83,Taxi 2,(2000),6.5
84,Hera Pheri,(2000),8.2
85,Dinosaur,(2000),6.5
86,Boiler Room,(2000),7.0
87,Nine Queens,(2000),7.9
88,Nutty Professor II: The Klumps,(2000),4.4
89,Rules of Engagement,(2000),6.4
90,28 Days,(2000),6.0
91,Coupling,(2000–2004),8.6
92,The Kid,(2000),6.1
93,Ginger Snaps,(2000),6.8
94,Shadow of the Vampire,(2000),6.9
95,Tigerland,(2000),7.0
96,Reindeer Games,(2000),5.7
97,Small Time Crooks,(2000),6.7
98,Chopper,(2000),7.2
99,Book of Shadows: Blair Witch 2,(2000),4.0
100,Next Friday,(2000),6.1
101,Nurse Betty,(2000),6.2
102,102 Dalmatians,(2000),4.9
103,Get Carter,(2000),5.1
104,Dracula 2000,(2000),4.9
105,Dungeons & Dragons,(2000),3.7
106,The Way of the Gun,(2000),6.7
107,Where the Heart Is,(2000),6.8
108,The Skulls,(2000),5.6
109,Dark Angel,(2000–2002),7.4
