,movie,year,imdb
0,Inception,(2010),8.8
1,Shutter Island,(2010),8.1
2,The Walking Dead,(2010– ),8.4
3,Sherlock,(2010– ),9.2
4,Toy Story 3,(2010),8.3
5,Black Swan,(2010),8.0
6,Iron Man 2,(2010),7.0
7,How to Train Your Dragon,(2010),8.1
8,The King's Speech,(2010),8.0
9,The Social Network,(2010),7.7
10,Kick-Ass,(2010),7.6
11,Despicable Me,(2010),7.7
12,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7
13,Tangled,(2010),7.8
14,Alice in Wonderland,(I) (2010),6.5
15,Scott Pilgrim vs. the World,(2010),7.5
16,Easy A,(2010),7.1
17,127 Hours,(2010),7.6
18,The Town,(2010),7.6
19,The Fighter,(I) (2010),7.8
20,The Expendables,(2010),6.5
21,Due Date,(2010),6.6
22,TRON: Legacy,(2010),6.8
23,True Grit,(2010),7.6
24,Salt,(2010),6.4
25,RED,(2010),7.1
26,The Book of Eli,(2010),6.9
27,Clash of the Titans,(2010),5.8
28,Prince of Persia: The Sands of Time,(2010),6.6
29,Insidious,(I) (2010),6.8
30,Robin Hood,(2010),6.7
31,The A-Team,(2010),6.8
32,The Other Guys,(2010),6.7
33,The Twilight Saga: Eclipse,(2010),5.0
34,Grown Ups,(I) (2010),6.0
35,The Tourist,(2010),6.0
36,Megamind,(2010),7.3
37,Spartacus,(2010–2013),8.5
38,Predators,(2010),6.4
39,Machete,(2010),6.6
40,Unstoppable,(2010),6.8
41,Knight and Day,(2010),6.3
42,Blue Valentine,(2010),7.4
43,The Next Three Days,(2010),7.4
44,Love & Other Drugs,(2010),6.7
45,Shrek Forever After,(2010),6.3
46,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9
47,Get Him to the Greek,(2010),6.4
48,Boardwalk Empire,(2010–2014),8.6
49,Hot Tub Time Machine,(2010),6.4
50,Tucker & Dale vs. ondskab,(2010),7.6
51,Resident Evil: Afterlife,(2010),5.9
52,The Ghost Writer,(2010),7.2
53,The Karate Kid,(2010),6.2
54,Date Night,(2010),6.3
55,The Sorcerer's Apprentice,(2010),6.1
56,Pretty Little Liars,(2010–2017),7.5
57,Downton Abbey,(2010–2015),8.7
58,Buried,(2010),7.0
59,The Last Airbender,(2010),4.1
60,Never Let Me Go,(2010),7.2
61,Remember Me,(2010),7.1
62,The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),6.3
63,Dear John,(I) (2010),6.3
64,Winter's Bone,(2010),7.2
65,It's Kind of a Funny Story,(2010),7.1
66,Green Zone,(2010),6.8
67,Devil,(2010),6.2
68,The Kids Are All Right,(2010),7.0
69,Incendies,(2010),8.2
70,She's Out of My League,(2010),6.4
71,Life as We Know It,(2010),6.6
72,The Bounty Hunter,(I) (2010),5.6
73,From Paris with Love,(2010),6.5
74,Let Me In,(I) (2010),7.1
75,Valentine's Day,(I) (2010),5.7
76,The Crazies,(2010),6.5
77,The Way Back,(I) (2010),7.3
78,Luther,(2010– ),8.5
79,Little Fockers,(2010),5.5
80,The Wolfman,(2010),5.8
81,Repo Men,(2010),6.3
82,Wall Street: Money Never Sleeps,(2010),6.2
83,Faster,(2010),6.5
84,Paranormal Activity 2,(2010),5.7
85,I Saw the Devil,(2010),7.8
86,Legion,(2010),5.2
87,Dinner for Schmucks,(2010),5.9
88,The Switch,(I) (2010),6.1
89,My Name Is Khan,(2010),8.0
90,Hereafter,(2010),6.5
91,The American,(2010),6.3
92,Letters to Juliet,(2010),6.6
93,Ip Man 2,(2010),7.6
94,The Pacific,(2010),8.3
95,A Nightmare on Elm Street,(2010),5.2
96,Leap Year,(2010),6.5
97,Edge of Darkness,(2010),6.6
98,Monsters,(2010),6.4
99,Beginners,(2010),7.2
100,Skyline,(2010),4.4
101,The Losers,(I) (2010),6.4
102,Saw 3D: The Final Chapter,(2010),5.6
103,Killers,(2010),5.4
104,Cop Out,(2010),5.6
105,Piranha 3D,(2010),5.4
106,Unthinkable,(2010),7.1
107,Biutiful,(2010),7.5
108,Submarine,(2010),7.3
109,Eat Pray Love,(2010),5.8
110,Justified,(2010–2015),8.6
111,Elite Squad: The Enemy Within,(2010),8.1
112,Flipped,(I) (2010),7.7
113,Centurion,(2010),6.4
114,Legend of the Guardians: The Owls of Ga'Hoole,(2010),7.0
115,The Last Song,(2010),5.9
116,Super,(I) (2010),6.8
117,Louie,(2010–2015),8.6
118,Burlesque,(I) (2010),6.4
119,Sex and the City 2,(2010),4.4
120,I Spit on Your Grave,(2010),6.3
121,Arrietty,(2010),7.6
122,Morning Glory,(2010),6.5
123,Four Lions,(2010),7.3
124,Inside Job,(2010),8.3
125,Adventure Time,(2010–2018),8.6
126,Trollhunter,(2010),7.0
127,Frozen,(I) (2010),6.2
128,The Debt,(I) (2010),6.9
129,Gulliver's Travels,(2010),4.9
130,Hawaii Five-0,(2010– ),7.4
